Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_2323_6_0	omega_2323_6	614acb1bf4beec3a86827112b6de88e3	0.734	0.54	0.194	1.168	0.796	0.372	0.916	0.626	0.289	793.701
omega_2033_36_0	omega_2033_36	1fa4e6ea4bf86af99a5f78afbf4fbf5c	0.734	0.543	0.191	1.119	0.721	0.399	0.956	0.687	0.269	878.745
omega_1099_13_0	omega_1099_13	c52efdec0324a16e058653842363a021	0.734	0.535	0.199	1.44	0.927	0.513	0.804	0.558	0.245	700.388
omega_2366_6_0	omega_2366_6	292db7d5d75e7050f6f3ad461d172a5b	0.734	0.533	0.201	1.172	0.77	0.403	0.92	0.635	0.286	805.55
omega_524_29_0	omega_524_29	990e8549aec31c360b9cab5fd19ed401	0.734	0.558	0.176	1.193	0.798	0.396	0.891	0.65	0.241	824.616
omega_1821_19_0	omega_1821_19	069d4a708dbeb4db764e5fd567134a77	0.734	0.563	0.171	1.226	0.898	0.328	0.864	0.601	0.263	757.069
omega_2919_14_0	omega_2919_14	0bee6d398c8a77d236cd68c53c69f3f7	0.734	0.576	0.158	1.071	0.779	0.292	0.944	0.689	0.255	877.853
omega_409_32_0	omega_409_32	5c9b2d8860b070a0ba5070f491c3fc6b	0.734	0.546	0.187	0.959	0.635	0.324	1.104	0.796	0.308	1034.904
omega_2800_18_0	omega_2800_18	af53a445c9aa726d23cd8ed48944bc78	0.734	0.57	0.163	0.923	0.657	0.266	1.11	0.812	0.298	1055.376
omega_1999_2_0	omega_1999_2	772deff9644dd283444ac6e42c761344	0.734	0.518	0.215	1.071	0.723	0.349	1.007	0.647	0.361	824.011
omega_3051_48_0	omega_3051_48	af070739dec62b4fd7878eccb246eaea	0.733	0.579	0.154	1.102	0.749	0.353	0.934	0.719	0.215	919.359
omega_1875_6_0	omega_1875_6	7cf6d7d91b919dcba1965cdf234fc4a1	0.733	0.577	0.156	1.364	0.955	0.409	0.795	0.593	0.201	744.69
omega_3041_28_0	omega_3041_28	1f5f93ec9df4d84dbcc8d79de073ef8d	0.733	0.545	0.188	0.92	0.633	0.287	1.149	0.797	0.352	1036.415
omega_2098_4_0	omega_2098_4	f717f5159c552ac02e35a450062957e8	0.733	0.544	0.189	1.341	0.954	0.387	0.828	0.559	0.269	700.693
omega_226_11_0	omega_226_11	8d8fc2b403960a3a7b59638eca613cc1	0.733	0.56	0.173	1.146	0.771	0.374	0.914	0.672	0.243	854.736
omega_1360_14_0	omega_1360_14	6d54afb4848ee8862995873ee2f978dd	0.733	0.572	0.16	1.191	0.796	0.395	0.883	0.67	0.213	851.603
omega_297_1_0	omega_297_1	be17347f9e15a1840e848cac10d6d771	0.733	0.591	0.142	1.124	0.795	0.328	0.897	0.697	0.2	886.833
omega_257_11_0	omega_257_11	c3616939834d529b38afd7c368746964	0.732	0.538	0.194	1.17	0.756	0.414	0.919	0.652	0.267	829.019
omega_1583_8_0	omega_1583_8	34b8545823725734140b31bed76b273a	0.732	0.557	0.175	1.167	0.795	0.372	0.899	0.651	0.248	825.801
omega_1429_36_0	omega_1429_36	0ba3565b1bfc0cfc39525a6faa9f41c4	0.732	0.536	0.196	1.129	0.734	0.395	0.946	0.665	0.28	848.579
omega_2647_12_0	omega_2647_12	8661977250af52f37313c1e4b3bac892	0.732	0.618	0.114	1.036	0.824	0.211	0.91	0.712	0.198	905.512
omega_1512_11_0	omega_1512_11	103a955cc7b2984a404df4483c966e1b	0.732	0.468	0.264	1.231	0.85	0.381	0.973	0.51	0.463	639.443
omega_138_10_0	omega_138_10	9446620e001b8f8b237c6ed6695048b9	0.732	0.557	0.175	1.129	0.786	0.344	0.919	0.656	0.263	833.829
omega_2922_14_0	omega_2922_14	ce5185afcdbb05bed2ee83f740207806	0.732	0.601	0.13	1.182	0.917	0.265	0.84	0.636	0.204	801.683
omega_2983_50_0	omega_2983_50	9917bffc76cdceb2fb10ed1c98f5bc64	0.732	0.542	0.19	1.16	0.746	0.414	0.924	0.665	0.259	847.275
omega_2554_23_0	omega_2554_23	af7d1b9a674ae2582f0a11b64326dc8d	0.731	0.644	0.088	1.155	0.958	0.197	0.799	0.662	0.137	834.546
omega_1604_2_0	omega_1604_2	49938f8762b1c20c7d56cf23f0000ca7	0.731	0.551	0.181	1.153	0.785	0.368	0.911	0.648	0.262	823.267
omega_2534_8_0	omega_2534_8	9a5dbff0c3ef0bbffef7bc47f64f248e	0.731	0.581	0.15	1.265	0.952	0.313	0.823	0.599	0.224	752.186
omega_3289_3_0	omega_3289_3	b78fced4615237a9d4e440ec97b4b57c	0.731	0.535	0.196	1.475	0.949	0.526	0.789	0.551	0.238	690.59
omega_1973_1_0	omega_1973_1	daa16feb55dd308de0a382bb5deadd4a	0.731	0.564	0.167	1.092	0.79	0.301	0.936	0.663	0.273	842.646
omega_2921_27_0	omega_2921_27	0cf2a1dc894ee83afa1a28e8d97388a7	0.731	0.531	0.201	1.248	0.803	0.444	0.878	0.61	0.268	771.294
omega_2813_3_0	omega_2813_3	6bd60e79533aa2ced5bcad1bbf5d4b4d	0.731	0.659	0.072	1.012	0.885	0.127	0.864	0.721	0.143	914.656
omega_1691_6_0	omega_1691_6	5ca8ffdc87a32f02e726438439806627	0.731	0.576	0.155	1.281	0.929	0.353	0.819	0.603	0.216	757.939
omega_1024_7_0	omega_1024_7	d5647ca280cb77ee2c1db458cf16652c	0.731	0.515	0.216	1.207	0.725	0.481	0.921	0.639	0.282	814.329
omega_2923_1_0	omega_2923_1	2a61483140c13e93da8da20c4ac4cf85	0.731	0.534	0.196	1.12	0.792	0.328	0.95	0.621	0.329	786.862
omega_691_42_0	omega_691_42	5c6b580aab9d53915ed63559b083ede2	0.73	0.565	0.165	0.986	0.698	0.288	1.027	0.748	0.279	962.858
omega_2774_40_0	omega_2774_40	4c172786a9b2580d13a940a78dd5bf78	0.73	0.539	0.192	0.977	0.661	0.315	1.073	0.744	0.329	960.057
omega_612_40_0	omega_612_40	b8e8cff1cc989134ed1661c9842d84cf	0.73	0.467	0.263	1.042	0.584	0.458	1.082	0.699	0.383	905.758
omega_1014_4_0	omega_1014_4	09c1e915877808feea5354bada44fdeb	0.73	0.541	0.19	1.306	0.913	0.394	0.838	0.57	0.268	715.846
omega_2149_1_0	omega_2149_1	2ccbd36104b63214b98033b46015fb23	0.73	0.548	0.182	1.172	0.782	0.39	0.901	0.647	0.255	821.05
omega_1330_26_0	omega_1330_26	1adb7cd6f0346322e4cabc1d2d25e29c	0.73	0.528	0.202	0.973	0.628	0.345	1.096	0.768	0.328	996.872
omega_2100_20_0	omega_2100_20	93f7c9d8873b5bd80428fe2f042f9692	0.73	0.555	0.174	1.198	0.832	0.366	0.875	0.625	0.25	790.881
omega_108_11_0	omega_108_11	b6b1cab57af046b41f07abdda1d6b50a	0.729	0.563	0.166	1.352	0.909	0.442	0.807	0.597	0.21	750.847
omega_3089_5_0	omega_3089_5	1f5e87b893fb55ccfa6a175d45853e29	0.729	0.575	0.154	1.127	0.815	0.312	0.895	0.661	0.234	839.138
omega_2223_9_0	omega_2223_9	49f536d8ff3efa3dfd1120017e669d93	0.729	0.572	0.157	1.213	0.876	0.337	0.85	0.622	0.228	784.669
omega_708_44_0	omega_708_44	61deba6c24a2edd9a14bcc0769cbeab3	0.729	0.639	0.09	1.072	0.863	0.209	0.848	0.711	0.137	902.62
omega_2497_23_0	omega_2497_23	8e792563c0c0378e10e6a24f9e1e3cf2	0.729	0.564	0.165	1.193	0.835	0.358	0.869	0.635	0.234	803.566
omega_1276_44_0	omega_1276_44	3d8067332f5200dcaa1c25b48f508692	0.729	0.588	0.141	1.284	0.857	0.427	0.826	0.651	0.175	823.868
omega_1677_4_0	omega_1677_4	fcf8ed4006225e05314d1fdf83c4adc3	0.729	0.594	0.135	1.238	0.913	0.324	0.817	0.63	0.187	793.379
omega_619_1_0	omega_619_1	41f6191ed388fec35e6f80108fefab7f	0.729	0.578	0.15	1.026	0.787	0.239	0.973	0.686	0.287	873.197
omega_372_5_0	omega_372_5	6f2ae6fd521f473c991d259f454e1fd5	0.728	0.521	0.207	1.305	0.856	0.449	0.849	0.571	0.278	718.739
omega_2713_15_0	omega_2713_15	dc91cf664a2cb21843a7a608516e2567	0.728	0.541	0.187	1.172	0.781	0.391	0.902	0.638	0.264	809.594
omega_3038_9_0	omega_3038_9	90cefabe1aa47376adc5dedcc2ac6663	0.728	0.535	0.193	1.461	0.903	0.558	0.796	0.567	0.229	712.386
omega_2294_34_0	omega_2294_34	5741b0dc4945a49bb1f72a6f26fa432c	0.728	0.559	0.169	1.022	0.741	0.281	0.993	0.694	0.298	886.991
omega_3033_16_0	omega_3033_16	7a13097b82706f827171d2659abbbd4f	0.728	0.595	0.133	1.195	0.896	0.298	0.832	0.639	0.194	806.098
omega_869_23_0	omega_869_23	86dcc401e349f16d691d351839143b8c	0.728	0.602	0.126	1.205	0.891	0.315	0.824	0.65	0.173	821.182
omega_1288_3_0	omega_1288_3	a9acbe6f0c0acf2d2988fd579c2f25cf	0.728	0.575	0.153	1.214	0.87	0.345	0.845	0.63	0.215	794.865
omega_2021_16_0	omega_2021_16	53d2ce1c1f84995af2f6bc3549da313a	0.728	0.563	0.165	1.231	0.857	0.375	0.849	0.621	0.228	784.027
omega_1488_1_0	omega_1488_1	201b7defe04f87e1bebae27948f5c133	0.728	0.468	0.26	1.194	0.71	0.484	0.938	0.579	0.359	734.249
omega_877_20_0	omega_877_20	3f5ddf914d56aeb8311b3e63b76349a3	0.728	0.56	0.168	1.067	0.737	0.33	0.954	0.699	0.255	893.586
omega_2704_26_0	omega_2704_26	84078567a6e462f4c13b79070ccb2e69	0.728	0.573	0.155	1.067	0.771	0.296	0.936	0.69	0.245	879.545
omega_2265_35_0	omega_2265_35	0cc4053f5f1249939143d4dad42199db	0.727	0.627	0.1	1.163	0.926	0.238	0.808	0.661	0.147	833.735
omega_2316_6_0	omega_2316_6	6e55add6c7562545da2bdbf631675edb	0.727	0.481	0.246	1.401	0.836	0.565	0.835	0.531	0.304	667.566
omega_1729_1_0	omega_1729_1	8bba9eb8ccd9487ac2af72f26af047d7	0.727	0.538	0.19	1.336	0.92	0.416	0.823	0.564	0.258	707.824
omega_775_8_0	omega_775_8	b90daa39bfdb4a5c8a92d16078ffe154	0.727	0.59	0.137	1.242	0.932	0.31	0.814	0.616	0.198	775.641
omega_643_1_0	omega_643_1	2e18735a34ae46eefbe6e80a22c189fe	0.727	0.508	0.219	1.214	0.768	0.446	0.901	0.6	0.3	760.309
omega_1605_8_0	omega_1605_8	80eaadeba3e503bb6f88b89a410cf258	0.727	0.489	0.238	1.392	0.927	0.466	0.836	0.509	0.327	636.246
omega_3246_6_0	omega_3246_6	9351b59a021753f9e098f73590ca3efb	0.727	0.576	0.151	1.258	0.913	0.345	0.82	0.61	0.211	767.207
omega_1161_38_0	omega_1161_38	be2f826b9077f098399c07c5fa078405	0.727	0.547	0.18	1.177	0.837	0.34	0.888	0.612	0.276	773.41
omega_2185_12_0	omega_2185_12	27e7c4939ea7db930ff55b96929a272a	0.727	0.496	0.231	1.067	0.733	0.334	1.033	0.605	0.428	767.699
omega_263_9_0	omega_263_9	9a15d3534016b9cec5600edb11c6106b	0.727	0.562	0.165	1.249	0.877	0.371	0.838	0.61	0.228	768.482
omega_1570_38_0	omega_1570_38	3f6bb9e98765016514add5f974a08380	0.726	0.59	0.137	1.226	0.922	0.304	0.819	0.621	0.199	781.59
omega_935_36_0	omega_935_36	a626bdce54f704cfad07b9e9232484b0	0.726	0.526	0.2	1.133	0.745	0.387	0.934	0.642	0.293	816.287
omega_3071_2_0	omega_3071_2	5b16e19251bf355f74cb2ea0e9a4e3da	0.726	0.589	0.137	1.169	0.889	0.28	0.848	0.636	0.212	802.63
omega_1969_3_0	omega_1969_3	d827efbb36d8a6b76f0df93778839b82	0.726	0.607	0.119	1.03	0.797	0.232	0.914	0.718	0.197	915.051
omega_1603_18_0	omega_1603_18	63dd6bc9da9119ee073682b091a65efe	0.726	0.519	0.207	1.371	0.892	0.48	0.821	0.554	0.267	695.212
omega_1098_1_0	omega_1098_1	f2a09fd37dee5f041a9e20ab2b6ce3d7	0.726	0.604	0.122	1.148	0.888	0.26	0.84	0.654	0.186	826.363
omega_2958_16_0	omega_2958_16	0faf20e4c094d95ff9307fe527346652	0.726	0.61	0.116	0.857	0.66	0.197	1.109	0.89	0.219	1162.896
omega_1312_1_0	omega_1312_1	21dfcc30f006c8a761605d7573f4f676	0.726	0.475	0.251	1.148	0.676	0.472	0.964	0.614	0.349	783.718
omega_1173_2_0	omega_1173_2	451cf6c3559369fe1454a384b94e63f8	0.726	0.57	0.156	1.135	0.817	0.318	0.887	0.653	0.234	827.849
omega_2487_2_0	omega_2487_2	fe9b590dcca5666e2582f68fc436e827	0.726	0.484	0.242	1.084	0.632	0.452	1.016	0.674	0.342	866.983
omega_3170_12_0	omega_3170_12	69051c164d03638baf272fd2a7eb0d08	0.726	0.541	0.184	1.415	0.971	0.445	0.79	0.55	0.24	688.872
omega_445_5_0	omega_445_5	30d36f766edd682dca6bef103d1c91c4	0.726	0.52	0.206	1.157	0.743	0.414	0.924	0.634	0.29	806.392
omega_1492_13_0	omega_1492_13	395962cdd5244dfcb3269cc1aecbd0f5	0.725	0.459	0.266	1.111	0.64	0.471	0.999	0.619	0.38	792.61
omega_3274_2_0	omega_3274_2	42c98a76d7ac4eddd2cc1eb4a375109a	0.725	0.542	0.183	1.341	0.902	0.439	0.815	0.576	0.239	724.387
omega_1048_3_0	omega_1048_3	1d74f2634ec9f60f41e0424b6a8c63d2	0.725	0.521	0.204	1.304	0.833	0.471	0.847	0.582	0.265	733.781
omega_2270_30_0	omega_2270_30	3025a65c344241b50db5f400587513d4	0.725	0.551	0.174	1.251	0.827	0.424	0.851	0.623	0.228	787.561
omega_2798_2_0	omega_2798_2	9232c73603b1ac8dd9a1dcdd10e870bc	0.725	0.61	0.115	0.98	0.768	0.212	0.948	0.749	0.2	958.331
omega_3019_1_0	omega_3019_1	9dd33fdd2e8443b719a927f4596eb7c2	0.725	0.571	0.154	1.228	0.881	0.347	0.835	0.619	0.216	781.048
omega_474_11_0	omega_474_11	dbe0f39513cd6d13037a153f89f7f606	0.725	0.566	0.159	1.254	0.865	0.388	0.832	0.621	0.211	783.692
omega_3199_23_0	omega_3199_23	de654dadd9de90ceeafd16b2ce1bcbf8	0.725	0.532	0.193	1.513	0.883	0.63	0.79	0.573	0.217	719.911
omega_2361_3_0	omega_2361_3	9cbffb979c62fb9723d4b2b2e8512928	0.724	0.592	0.133	1.094	0.851	0.243	0.886	0.66	0.227	835.202
omega_2231_2_0	omega_2231_2	f8c6f467ff1406e3a24634c49f67c905	0.724	0.497	0.227	1.546	0.909	0.637	0.784	0.523	0.261	655.576
omega_813_25_0	omega_813_25	2311739670f6bf09cb5c878ecba010fa	0.724	0.597	0.127	1.158	0.865	0.293	0.842	0.658	0.184	832.891
omega_1921_10_0	omega_1921_10	103f7f7ac041a48525b65f31bcbdf9fc	0.724	0.575	0.149	1.305	0.944	0.361	0.798	0.596	0.202	748.077
omega_950_25_0	omega_950_25	accf74a252da709ac43e4db0e923db73	0.724	0.525	0.199	1.388	0.873	0.515	0.813	0.569	0.244	715.572
omega_1865_47_0	omega_1865_47	40a745b3a3c96e277920580f5168fbcb	0.724	0.512	0.212	1.22	0.759	0.461	0.893	0.611	0.282	774.184
omega_509_1_0	omega_509_1	5fa21899a7b823df3f262c3b672bfbb5	0.724	0.598	0.125	0.968	0.792	0.176	1.014	0.71	0.304	904.539
omega_888_34_0	omega_888_34	f034c02a5fadc600bab973874e010a76	0.724	0.559	0.165	0.985	0.704	0.28	1.016	0.73	0.285	938.328
omega_72_48_0	omega_72_48	8c74c3d2a408b9c7f80873639694f110	0.724	0.473	0.251	0.983	0.613	0.37	1.112	0.674	0.438	869.245
omega_115_1_0	omega_115_1	47f18034f2deb1278129d9610af5d2f6	0.724	0.512	0.212	1.127	0.719	0.408	0.945	0.64	0.305	815.307
omega_1790_3_0	omega_1790_3	3127d3d2909d513a1d9af88d2edf0e8d	0.723	0.529	0.195	1.275	0.876	0.399	0.847	0.572	0.275	719.343
omega_1617_7_0	omega_1617_7	c80055329e42c58fbd7ef3e6bd9bf022	0.723	0.59	0.134	1.159	0.91	0.248	0.851	0.626	0.225	788.495
omega_2328_12_0	omega_2328_12	f77af21faf220108db7947a0ae9cf70f	0.723	0.591	0.132	1.088	0.841	0.247	0.887	0.665	0.222	843.103
omega_2108_2_0	omega_2108_2	ac52582a3b6f43202cb954afbc0ead1c	0.723	0.577	0.147	1.201	0.881	0.32	0.839	0.625	0.213	789.079
omega_2579_8_0	omega_2579_8	e196cfbe6e8fe54d3b515e86d0a01d0e	0.723	0.608	0.116	0.995	0.742	0.254	0.946	0.771	0.175	990.392
omega_894_11_0	omega_894_11	ca796ec48715687cda9f687e65581a41	0.723	0.562	0.162	1.169	0.784	0.384	0.882	0.664	0.218	844.07
omega_618_30_0	omega_618_30	db2ca21b48f8b4d89961211548f0cc0f	0.723	0.585	0.138	1.173	0.801	0.372	0.864	0.684	0.18	869.889
omega_1515_5_0	omega_1515_5	2bc556977826ddcc212e3c83236f16f4	0.723	0.522	0.201	1.493	0.978	0.515	0.776	0.528	0.248	659.717
omega_936_8_0	omega_936_8	469f9dcf99a332a0595b8254a2577e9a	0.723	0.565	0.157	1.182	0.824	0.358	0.862	0.643	0.219	814.698
omega_765_2_0	omega_765_2	d0aab7e5e6e7cbbd50819cdaa424da77	0.723	0.507	0.215	1.228	0.916	0.313	0.941	0.532	0.409	666.944
omega_674_7_0	omega_674_7	794c99e67868e73526c46be890d9a6b0	0.723	0.485	0.238	1.64	0.919	0.721	0.768	0.506	0.262	633.145
omega_642_3_0	omega_642_3	34a1039e6b13f0e01385018323f3a8e2	0.722	0.549	0.174	1.11	0.815	0.295	0.924	0.627	0.297	793.26
omega_3182_25_0	omega_3182_25	51666bb1a7324d985bec7902a13c6ccc	0.722	0.552	0.17	1.245	0.86	0.385	0.84	0.607	0.233	765.352
omega_800_4_0	omega_800_4	ed1278f96e056d1e4051115adb846404	0.722	0.582	0.14	1.141	0.838	0.304	0.862	0.656	0.205	831.432
omega_443_7_0	omega_443_7	0bd3dad1630525d360ceebea2f060891	0.722	0.604	0.118	1.059	0.823	0.236	0.885	0.694	0.192	881.302
omega_3156_16_0	omega_3156_16	e3bbd8d7740d7f4ccafd6f5f84bc23fc	0.722	0.587	0.135	1.075	0.814	0.26	0.896	0.678	0.218	860.854
omega_670_42_0	omega_670_42	e58f096256e706ae2426c95edb7fd1bd	0.722	0.511	0.211	0.934	0.621	0.313	1.135	0.743	0.392	962.595
omega_504_15_0	omega_504_15	7894aaa47b77be8ecce528c7a7730d89	0.722	0.568	0.154	1.001	0.729	0.273	0.981	0.72	0.261	922.033
omega_2025_7_0	omega_2025_7	ed2a70ddcf38d1fdd452f98ee67f5030	0.722	0.521	0.201	1.399	0.921	0.478	0.802	0.545	0.257	683.274
omega_3172_4_0	omega_3172_4	cbb5658c202964e3cb495f2e3ee70c17	0.722	0.556	0.166	1.356	0.891	0.465	0.801	0.596	0.205	750.833
omega_1280_22_0	omega_1280_22	17913cf4c0d43b1c6d8a8c18da4a17c7	0.722	0.554	0.167	1.096	0.754	0.342	0.923	0.677	0.246	862.414
omega_1863_35_0	omega_1863_35	a775e61724128eae73c8d602b8831c35	0.721	0.588	0.133	1.145	0.834	0.312	0.855	0.666	0.188	844.856
omega_1465_3_0	omega_1465_3	08c880ef0e5a27cfedd347fb5baa7a0b	0.721	0.544	0.177	1.322	0.894	0.428	0.813	0.582	0.231	731.902
omega_1660_2_0	omega_1660_2	b4bfd82f75c430f1ccdbdc8837a26c4d	0.721	0.55	0.171	1.195	0.835	0.36	0.863	0.617	0.247	779.211
omega_3275_1_0	omega_3275_1	afcb0c977ec062c2a2352177ef40da0f	0.721	0.536	0.185	1.27	0.883	0.387	0.839	0.577	0.262	725.445
omega_887_14_0	omega_887_14	da91cb8a0260d6ee6081ab36d922ddba	0.721	0.543	0.178	1.371	0.851	0.52	0.813	0.6	0.213	756.607
omega_660_3_0	omega_660_3	6043d5952eeaa7da53e61d56b86011e8	0.721	0.528	0.193	1.222	0.807	0.415	0.869	0.604	0.265	763.968
omega_2343_3_0	omega_2343_3	e2345added256629b169db5d5d61f9dc	0.721	0.565	0.156	1.114	0.835	0.279	0.897	0.636	0.26	804.929
omega_492_1_0	omega_492_1	fca063e0053876879c878aac1d7ef47b	0.721	0.503	0.218	0.978	0.611	0.368	1.089	0.741	0.348	961.247
omega_244_24_0	omega_244_24	c19c592de4f4125aec41985ca19f742a	0.721	0.567	0.154	1.086	0.789	0.296	0.91	0.669	0.242	849.72
omega_3412_43_0	omega_3412_43	8aea7bc3260fc2b5a20d09e3d70833a7	0.721	0.563	0.158	0.889	0.627	0.262	1.13	0.845	0.285	1104.511
omega_1784_32_0	omega_1784_32	1c36a734f46b53f5c3fef2f2b1308574	0.72	0.496	0.225	1.387	0.866	0.521	0.82	0.537	0.283	673.999
omega_2737_6_0	omega_2737_6	4f87eac201f0ca69d2cc7b302f5a4fa0	0.72	0.479	0.242	1.142	0.713	0.43	0.949	0.593	0.356	753.359
omega_3210_23_0	omega_3210_23	587788ffab59dbc909c62c6ee4d1b062	0.72	0.49	0.23	0.943	0.58	0.362	1.146	0.759	0.387	989.339
omega_199_1_0	omega_199_1	6d9b63a0d3753cb4fca884c91e444618	0.72	0.529	0.191	1.446	0.914	0.532	0.786	0.557	0.229	698.846
omega_1235_3_0	omega_1235_3	2f1cc2920cbf828d50211c408971da31	0.72	0.555	0.165	1.37	0.918	0.452	0.791	0.584	0.207	733.383
omega_190_3_0	omega_190_3	860b7ee680524a9be2cf61bef2482296	0.72	0.546	0.174	1.106	0.732	0.374	0.927	0.682	0.245	871.547
omega_779_1_0	omega_779_1	13ede0a7f236de3cef392603be523eea	0.72	0.558	0.162	1.397	0.94	0.457	0.779	0.579	0.2	726.322
omega_3382_9_0	omega_3382_9	4c6d8c3dab462197b2f1c9d12ab183bd	0.72	0.556	0.163	1.102	0.785	0.317	0.909	0.656	0.252	833.846
omega_817_14_0	omega_817_14	71f0d87584a2903695a6c090f8475052	0.72	0.536	0.183	0.908	0.639	0.269	1.135	0.77	0.365	998.026
omega_2072_5_0	omega_2072_5	30e203b2701d53a15de5f99af711a8b4	0.72	0.518	0.201	1.06	0.712	0.348	0.979	0.656	0.323	837.094
omega_2197_5_0	omega_2197_5	272780293c71bbdcd6f54bd72df9d54d	0.72	0.609	0.11	1.24	0.9	0.339	0.794	0.653	0.14	825.081
omega_1972_14_0	omega_1972_14	49c52fc13e9e76d1abf248c461c85274	0.719	0.563	0.156	1.34	0.874	0.465	0.803	0.613	0.191	772.477
omega_3301_31_0	omega_3301_31	688831a6bc3c35ad01ed678016c34ac9	0.719	0.563	0.156	1.216	0.862	0.354	0.838	0.619	0.219	780.661
omega_2732_25_0	omega_2732_25	3bc8d9c1832155ae5123d3be0c5f872c	0.719	0.573	0.146	1.11	0.811	0.299	0.883	0.661	0.222	838.941
omega_839_36_0	omega_839_36	536ab0b5a574b9947414f407c993a1a2	0.719	0.559	0.16	1.094	0.8	0.294	0.91	0.65	0.26	824.991
omega_3083_22_0	omega_3083_22	a0ae3f7f0cb05f6005dd8ee344f7b157	0.719	0.584	0.136	1.115	0.817	0.297	0.87	0.671	0.2	851.64
omega_2985_33_0	omega_2985_33	e02487408eca99a089c32b184a3a2770	0.719	0.591	0.128	1.15	0.838	0.313	0.845	0.668	0.178	846.156
omega_2382_6_0	omega_2382_6	866aa8e71caa34ca927b49a6937ab6e0	0.719	0.605	0.114	1.063	0.812	0.251	0.876	0.703	0.173	894.63
omega_227_46_0	omega_227_46	c11dbb1627d96be4d75298becec99ba6	0.719	0.495	0.224	1.106	0.689	0.417	0.963	0.637	0.326	812.693
omega_3487_18_0	omega_3487_18	d5b45cda3433001c731184f76d86c63f	0.719	0.578	0.14	1.204	0.895	0.309	0.824	0.62	0.204	782.01
omega_2157_1_0	omega_2157_1	4122e000fb6e1d295d2cb90e1930583e	0.719	0.55	0.168	1.085	0.78	0.305	0.925	0.651	0.274	826.816
omega_2795_1_0	omega_2795_1	5798ece9e06d186f17648063ed635898	0.719	0.548	0.171	1.093	0.806	0.287	0.927	0.631	0.296	799.6
omega_1987_1_0	omega_1987_1	b4f0c4b0b0fdb6b40252253f1417a59b	0.718	0.561	0.157	1.327	0.951	0.376	0.79	0.578	0.212	725.322
omega_2186_25_0	omega_2186_25	215777eb7afff90b7453fd8aa1215ad6	0.718	0.53	0.188	1.076	0.719	0.357	0.953	0.668	0.285	853.336
omega_3423_18_0	omega_3423_18	6744da6b7e12a44c240065c4432a9216	0.718	0.535	0.183	1.197	0.787	0.409	0.874	0.626	0.248	793.145
omega_1184_35_0	omega_1184_35	f099ec976d68d781f7c231760d3268a4	0.718	0.587	0.131	1.033	0.774	0.26	0.918	0.709	0.209	904.796
omega_463_2_0	omega_463_2	0c9c9bfff4e9b8453ae9987a08a5f59b	0.718	0.526	0.192	1.46	0.96	0.5	0.776	0.538	0.238	672.885
omega_823_5_0	omega_823_5	f6282b84d51699d929e35a9f78f7e882	0.718	0.501	0.217	1.131	0.689	0.442	0.946	0.647	0.298	827.21
omega_76_15_0	omega_76_15	929b6bff6eb60d7344497651a277f133	0.718	0.54	0.178	1.278	0.881	0.398	0.826	0.583	0.243	733.648
omega_3045_41_0	omega_3045_41	fe2e42771adddff1d0e12ff53c99863e	0.718	0.593	0.124	1.154	0.888	0.266	0.831	0.642	0.189	810.059
omega_2008_3_0	omega_2008_3	f384011f11663c03a6dcf9ad6d26ae3a	0.718	0.525	0.193	1.168	0.788	0.379	0.893	0.611	0.281	774.071
omega_1585_42_0	omega_1585_42	7e9ed2dbe6f0190444377f2590d2761e	0.718	0.531	0.187	1.37	0.828	0.542	0.819	0.597	0.222	753.451
omega_3126_1_0	omega_3126_1	5644c1d9c604af8bf54978e5795aa98a	0.718	0.573	0.145	1.091	0.821	0.27	0.893	0.654	0.239	829.387
omega_977_1_0	omega_977_1	6360c88eb1a5927504c672e7516a5394	0.718	0.559	0.158	1.067	0.783	0.284	0.925	0.662	0.263	841.186
omega_811_5_0	omega_811_5	1f00f21c0a69616aa72a1008bfe0ee24	0.718	0.568	0.15	1.021	0.759	0.262	0.952	0.693	0.258	884.273
omega_1829_17_0	omega_1829_17	56197a92095f4346390536a3462a8621	0.717	0.62	0.098	1.079	0.885	0.194	0.838	0.674	0.164	852.873
omega_3394_11_0	omega_3394_11	87e45902de5f73b9e7aff1095245bb91	0.717	0.498	0.219	1.112	0.656	0.456	0.971	0.673	0.297	864.405
omega_637_14_0	omega_637_14	22a0fe852626bf6dd8ebf6d6c5c11a35	0.717	0.608	0.109	1.114	0.886	0.229	0.832	0.66	0.172	834.785
omega_2137_15_0	omega_2137_15	38c9621298a082cdece7d2c87e193ba4	0.717	0.593	0.124	1.163	0.848	0.315	0.834	0.664	0.17	840.882
omega_1308_1_0	omega_1308_1	e79ef26e306ac7b8fa1add47f5adcce2	0.717	0.538	0.179	1.284	0.819	0.465	0.836	0.611	0.225	772.415
omega_2180_3_0	omega_2180_3	edb109649cf48d4625fddcf255dd2288	0.717	0.501	0.216	1.201	0.774	0.427	0.891	0.587	0.305	741.949
omega_1885_8_0	omega_1885_8	dacfe99f927d51db68c4dd779e56ca40	0.717	0.492	0.225	0.992	0.618	0.374	1.068	0.706	0.362	911.939
